Model,ECS,TCR,CLD,Extended_ECS,Extended_TCR,Extended_CLD
ACCESS-CM2,4.72,2.1,0.8,N,N,N
ACCESS-ESM1-5,3.87,1.95,0.62,N,N,N
AWI-CM-1-1-MR,3.16,2.06,0.29,N,N,N
AWI-ESM-1-1-LR,3.29,2.11,0.29,N,N,Y
BCC-CSM2-MR,3.04,1.72,0.57,N,N,N
BCC-ESM1,3.26,1.77,0.58,N,N,N
CAMS-CSM1-0,2.29,1.73,-0.3,N,N,N
CAS-ESM2-0,3.51,2.04,,N,N,N
CESM2,5.16,2.06,1.01,N,N,N
CESM2-FV2,5.14,2.05,1.1,N,N,N
CESM2-WACCM,4.75,1.98,1.22,N,N,N
CESM2-WACCM-FV2,4.79,2.01,1.17,N,N,N
CIESM,,2.39,0.84,N,N,N
CMCC-CM2-SR5,3.52,2.09,0.58,N,N,N
CMCC-ESM2,,,0.56,N,N,N
CNRM-CM6-1,4.83,2.14,0.61,N,N,N
CNRM-CM6-1-HR,4.28,2.48,0.59,N,N,N
CNRM-ESM2-1,4.76,1.86,0.63,N,N,N
CanESM5,5.62,2.74,0.88,N,N,N
E3SM-1-0,5.32,2.99,0.97,N,N,N
EC-Earth3P,4.31,2.62,0.37,Y,Y,Y
EC-Earth3,4.1,2.3,0.39,N,N,N
EC-Earth3-AerChem,,,0.27,N,N,N
EC-Earth3-Veg,4.31,2.62,0.37,N,N,N
FGOALS-f3-L,3,1.94,0.04,N,N,N
FGOALS-g3,2.88,1.54,0.1,N,N,N
FIO-ESM-2-0,,2.22,,N,N,N
GFDL-CM4,3.89,2.1,0.64,N,N,N
GFDL-ESM4,2.6,1.6,0.5,N,N,N
GISS-E2-1-G,2.72,1.8,0.07,N,N,N
GISS-E2-1-H,3.11,1.93,0.06,N,N,N
GISS-E2-2-G,,1.71,0.01,N,N,N
HadGEM3-GC31-LL,5.55,2.55,0.84,N,N,N
HadGEM3-GC31-MM,5.42,2.58,0.91,N,N,N
IITM-ESM,,1.71,-0.02,N,N,N
INM-CM4-8,1.83,1.33,-0.09,N,N,N
INM-CM5-0,1.92,1.3,-0.06,N,N,N
IPSL-CM5A2-INCA,3.79,1.9,1.05,N,N,N
IPSL-CM6A-LR,4.56,2.32,0.45,N,N,N
IPSL-CM6A-LR-INCA,4.13,2.32,0.45,N,Y,N
KACE-1-0-G,4.48,1.41,0.84,N,N,N
MCM-UA-1-0,3.65,1.94,,N,N,N
MIROC-ES2L,2.68,1.55,0.04,N,N,N
MIROC6,2.61,1.55,0.22,N,N,N
MPI-ESM-1-2-HAM,2.96,1.8,-0.16,N,N,N
MPI-ESM1-2-HR,2.98,1.66,0.27,N,N,N
MPI-ESM1-2-LR,3,1.84,0.18,N,N,N
MRI-ESM2-0,3.15,1.64,0.46,N,N,N
NESM3,4.72,2.72,0.45,N,N,N
NorCPM1,3.05,1.56,0.3,N,N,N
NorESM2-LM,2.54,1.48,0.44,N,N,N
NorESM2-MM,2.5,1.33,0.51,N,N,N
SAM0-UNICON,3.72,2.27,0.75,N,N,N
TaiESM1,4.31,2.34,0.7,N,N,N
UKESM1-0-LL,5.34,2.79,0.87,N,N,N
ACCESS1-0,3.83,1.9,0.47,N,N,N
ACCESS1-3,3.53,1.6,0.65,N,N,N
BNU-ESM,3.92,,0.2,N,N,N
CCSM4,2.94,1.7,0.27,N,N,N
CNRM-CM5,3.25,2,0.15,N,N,N
CNRM-CM5-2,3.44,,,N,N,N
CSIRO-Mk3-6-0,4.08,1.7,0.67,N,N,N
CanESM2,3.69,2.3,0.52,N,N,N
FGOALS-g2,3.38,1.4,0.38,N,N,N
FGOALS-s2,,2.4,0.03,N,N,N
GFDL-CM3,3.97,1.9,0.88,N,N,N
GFDL-ESM2G,2.39,1.1,0.22,N,N,N
GFDL-ESM2M,2.44,1.4,0.11,N,N,N
GISS-E2-H,2.31,1.7,-0.12,N,N,N
GISS-E2-R,2.11,1.5,-0.14,N,N,N
HadGEM2-ES,4.61,2.5,0.7,N,N,N
IPSL-CM5A-LR,4.13,2,1.18,N,N,N
IPSL-CM5A-MR,4.12,2,1.25,N,N,N
IPLS-CM5B-LR,2.6,1.5,0.62,N,N,N
MIROC-ESM,4.67,2.2,0.68,N,N,N
MIROC5,2.72,1.4,-0.04,N,N,N
MPI-ESM-LR,3.63,2,0.44,N,N,N
MPI-ESM-MR,3.46,2,0.47,N,N,N
MPI-ESM-P,3.45,2,0.39,N,N,N
MRI-CGCM3,2.6,1.6,0.28,N,N,N
NorESM1-M,2.8,1.4,0.29,N,N,N
NorESM1-ME,,,0.33,N,N,N
bcc-csm1-1-m,2.86,2.1,0.4,N,N,N
bcc-csm1-1,2.83,1.7,0.28,N,N,N
inmcm4,2.08,1.3,0.24,N,N,N
